area_fips,area_title,total_businesses,total_employees,industry_code,industry_title,disclosure_warning,businesses,total_qtrly_wages,employees,avg_annual_wage
C3954,"Racine, WI",4597,74288,425,Electronic markets and agents and brokers,FALSE,39,5777494,457,50532.02
C3954,"Racine, WI",4597,74288,441,Motor vehicle and parts dealers,FALSE,76,14512821,1195,48564.93
C3954,"Racine, WI",4597,74288,442,Furniture and home furnishings stores,FALSE,21,1298305,149,34776.03
C3954,"Racine, WI",4597,74288,443,Electronics and appliance stores,FALSE,27,2545648,396,25691.99
C3954,"Racine, WI",4597,74288,444,Building material and garden supply stores,FALSE,32,6546450,918,28535.2
C3954,"Racine, WI",4597,74288,445,Food and beverage stores,FALSE,80,9776414,1847,21176.35
C3954,"Racine, WI",4597,74288,446,Health and personal care stores,FALSE,51,4884334,589,33151.59
C3954,"Racine, WI",4597,74288,447,Gasoline stations,FALSE,71,3584108,714,20088.41
C3954,"Racine, WI",4597,74288,448,Clothing and clothing accessories stores,FALSE,47,2090111,520,16067.48
C3954,"Racine, WI",4597,74288,451,"Sports, hobby, music instrument, book stores",FALSE,23,1386354,291,19056.41
C3954,"Racine, WI",4597,74288,452,General merchandise stores,FALSE,24,7134902,1396,20448.73
C3954,"Racine, WI",4597,74288,453,Miscellaneous store retailers,FALSE,47,3039154,521,23318.32
C3954,"Racine, WI",4597,74288,454,Nonstore retailers,FALSE,20,1170675,99,47459.8
C3954,"Racine, WI",4597,74288,481,Air transportation,TRUE,1,,,
C3954,"Racine, WI",4597,74288,484,Truck transportation,FALSE,126,12216587,947,51583.06
C3954,"Racine, WI",4597,74288,485,Transit and ground passenger transportation,FALSE,9,1826011,367,19883.97
C3954,"Racine, WI",4597,74288,488,Support activities for transportation,FALSE,22,2470774,194,50856.41
C3954,"Racine, WI",4597,74288,492,Couriers and messengers,FALSE,11,2628227,260,40382.49
C3954,"Racine, WI",4597,74288,493,Warehousing and storage,FALSE,9,2879334,288,40037.09
C3954,"Racine, WI",4597,74288,511,"Publishing industries, except internet",FALSE,10,1582305,155,40746.05
C3954,"Racine, WI",4597,74288,512,Motion picture and sound recording industries,TRUE,5,,,
C3954,"Racine, WI",4597,74288,515,"Broadcasting, except internet",TRUE,1,,,
C3954,"Racine, WI",4597,74288,517,Telecommunications,FALSE,12,3058757,224,54539.5
C3954,"Racine, WI",4597,74288,518,"Data processing, hosting and related services",TRUE,2,,,
C3954,"Racine, WI",4597,74288,519,Other information services,TRUE,4,,,
C3954,"Racine, WI",4597,74288,522,Credit intermediation and related activities,FALSE,92,32766480,1338,97981
C3954,"Racine, WI",4597,74288,523,"Securities, commodity contracts, investments",FALSE,25,6223440,101,247289.01
C3954,"Racine, WI",4597,74288,524,Insurance carriers and related activities,FALSE,96,5917722,418,56674.11
C3954,"Racine, WI",4597,74288,531,Real estate,FALSE,86,2698407,339,31808.33
C3954,"Racine, WI",4597,74288,532,Rental and leasing services,FALSE,21,1287827,100,51513.08
C3954,"Racine, WI",4597,74288,541,Professional and technical services,FALSE,357,30278334,1884,64296.59
C3954,"Racine, WI",4597,74288,551,Management of companies and enterprises,FALSE,21,20245660,873,92799.05
C3954,"Racine, WI",4597,74288,561,Administrative and support services,FALSE,219,26403574,3512,30069.55
C3954,"Racine, WI",4597,74288,562,Waste management and remediation services,FALSE,16,4473362,343,52167.49
C3954,"Racine, WI",4597,74288,611,Educational services,FALSE,31,4406779,556,31684.45
C3954,"Racine, WI",4597,74288,621,Ambulatory health care services,FALSE,217,57906723,2741,84494.25
C3954,"Racine, WI",4597,74288,622,Hospitals,FALSE,4,32408293,2546,50916.41
C3954,"Racine, WI",4597,74288,623,Nursing and residential care facilities,FALSE,131,15350313,2517,24391.39
C3954,"Racine, WI",4597,74288,624,Social assistance,FALSE,590,14491736,3051,18999.33
C3954,"Racine, WI",4597,74288,711,Performing arts and spectator sports,FALSE,14,347725,64,21732.81
C3954,"Racine, WI",4597,74288,712,"Museums, historical sites, zoos, and parks",FALSE,6,513394,98,20883.82
C3954,"Racine, WI",4597,74288,713,"Amusements, gambling, and recreation",FALSE,49,3160728,863,14655.62
C3954,"Racine, WI",4597,74288,721,Accommodation,FALSE,25,1862699,373,19957.49
C3954,"Racine, WI",4597,74288,722,Food services and drinking places,FALSE,350,20951366,5861,14298.02
C3954,"Racine, WI",4597,74288,811,Repair and maintenance,FALSE,133,7293019,754,38706.87
C3954,"Racine, WI",4597,74288,812,Personal and laundry services,FALSE,104,3596904,679,21179.02
C3954,"Racine, WI",4597,74288,813,Membership associations and organizations,FALSE,45,3163518,388,32585.59
C3954,"Racine, WI",4597,74288,814,Private households,FALSE,47,352090,85,16504.22
